,title,word count,l1,l2,l3,l4,l5,l6,l7,l8
https://colorcodedlyrics.com/10-cm-amp-orange-caramel-hug-song-anajwoyo,안아줘요,291,0.116838488,0.237113402,0.254295533,0.388316151,0.41580756,0.446735395,0.529209622,0.529209622
https://colorcodedlyrics.com/100-baegpeosenteu-bad-boy-nabbeunnom,나쁜놈,327,0.131498471,0.180428135,0.229357798,0.262996942,0.296636086,0.348623853,0.351681957,0.351681957
https://colorcodedlyrics.com/100-baegpeosenteu-guy-like-me-na-gateun-nom,나 같은 놈,410,0.085365854,0.13902439,0.248780488,0.3,0.317073171,0.36097561,0.370731707,0.387804878
https://colorcodedlyrics.com/100-baegpeosenteu-lyrics-index,100% (백퍼센트) Index,15,0.133333333,0.2,0.2,0.2,0.2,0.2,0.2,0.2
https://colorcodedlyrics.com/100-baegpeosenteu-still-again,Still Again,302,0.109271523,0.135761589,0.21192053,0.261589404,0.271523179,0.304635762,0.314569536,0.341059603
https://colorcodedlyrics.com/100-baegpeosenteu-u-beauty-niga-yebbeuda,니가 예쁘다,322,0.152173913,0.242236025,0.301242236,0.357142857,0.363354037,0.413043478,0.413043478,0.416149068
https://colorcodedlyrics.com/100-beat-simjangi-ddwinda,심장이 뛴다 (Beat),384,0.119791667,0.236979167,0.28125,0.317708333,0.341145833,0.4140625,0.442708333,0.473958333
https://colorcodedlyrics.com/100-v-baegpeosenteu-v-missing-you-toegeungil,퇴근길,368,0.08423913,0.160326087,0.233695652,0.320652174,0.336956522,0.418478261,0.421195652,0.448369565
https://colorcodedlyrics.com/100-want-u-back,Want U Back,304,0.148026316,0.230263158,0.302631579,0.338815789,0.388157895,0.417763158,0.421052632,0.434210526
https://colorcodedlyrics.com/10608,Run,112,0.116071429,0.1875,0.276785714,0.303571429,0.339285714,0.375,0.375,0.375
https://colorcodedlyrics.com/10974,했어 안했어,552,0.061594203,0.092391304,0.134057971,0.163043478,0.235507246,0.389492754,0.402173913,0.411231884
https://colorcodedlyrics.com/10cm-love-in-the-milky-way-cafe-salangeun-eunhasu-dabangeseo,사랑은 은하수 다방에서,222,0.067567568,0.126126126,0.238738739,0.297297297,0.342342342,0.391891892,0.400900901,0.400900901
https://colorcodedlyrics.com/10cm-sibsenchi-sorrow-aesang,애상,362,0.168508287,0.245856354,0.317679558,0.359116022,0.370165746,0.400552486,0.403314917,0.428176796
https://colorcodedlyrics.com/10cm-x-chen-bye-babe,Bye Babe,320,0.115625,0.209375,0.271875,0.31875,0.359375,0.43125,0.4375,0.45
https://colorcodedlyrics.com/13203,요즘 너,279,0.114695341,0.17562724,0.250896057,0.283154122,0.308243728,0.35125448,0.35483871,0.369175627
https://colorcodedlyrics.com/14u-vvv,VVV,440,0.113636364,0.186363636,0.213636364,0.270454545,0.281818182,0.322727273,0.334090909,0.35
https://colorcodedlyrics.com/15-amp-can-t-hide-it,티가나나봐,218,0.119266055,0.21559633,0.270642202,0.279816514,0.330275229,0.403669725,0.417431193,0.422018349
https://colorcodedlyrics.com/15-amp-oh-my-god,Oh My God,334,0.089820359,0.158682635,0.22754491,0.275449102,0.296407186,0.362275449,0.398203593,0.425149701
https://colorcodedlyrics.com/15-amp-pipeutinaendeu-i-dream,I Dream,254,0.094488189,0.173228346,0.267716535,0.350393701,0.38976378,0.421259843,0.433070866,0.456692913
https://colorcodedlyrics.com/15-amp-sugar,Sugar,260,0.203846154,0.265384615,0.315384615,0.373076923,0.392307692,0.426923077,0.430769231,0.457692308
https://colorcodedlyrics.com/15-pipeutinaendeu-somebody,Somebody,193,0.191709845,0.243523316,0.295336788,0.331606218,0.378238342,0.430051813,0.445595855,0.471502591
https://colorcodedlyrics.com/15-rain-cry,Rain &amp; Cry,332,0.174698795,0.268072289,0.298192771,0.31626506,0.361445783,0.445783133,0.445783133,0.487951807
https://colorcodedlyrics.com/15-shy-ma-boy,Shy Ma Boy,191,0.078534031,0.120418848,0.188481675,0.209424084,0.235602094,0.340314136,0.340314136,0.382198953
https://colorcodedlyrics.com/15-star,Star,281,0.135231317,0.213523132,0.28113879,0.334519573,0.387900356,0.40569395,0.412811388,0.427046263
https://colorcodedlyrics.com/19-ga-in-gain-fxxk-u-feat-bumkey,Fxxk U,302,0.165562914,0.238410596,0.30794702,0.347682119,0.394039735,0.420529801,0.42384106,0.433774834
https://colorcodedlyrics.com/1nb-u-swibjianha,쉽지않아,248,0.125,0.189516129,0.213709677,0.266129032,0.282258065,0.375,0.387096774,0.387096774
https://colorcodedlyrics.com/1ps-because-i-m-your-girl-yeojainigga,여자이니까,254,0.165354331,0.196850394,0.291338583,0.334645669,0.342519685,0.374015748,0.385826772,0.38976378
https://colorcodedlyrics.com/1punch-wonpeonchi-turn-me-back-dollyeonwa,돌려놔,330,0.139393939,0.2,0.303030303,0.348484848,0.372727273,0.475757576,0.478787879,0.490909091
https://colorcodedlyrics.com/2013-sbs-gayodaejeon-friendship-project-you-are-a-miracle,You Are A Miracle,449,0.135857461,0.244988864,0.322939866,0.35857461,0.423162584,0.469933185,0.483296214,0.514476615
https://colorcodedlyrics.com/24k-bingo-binggo,빙고,326,0.128834356,0.187116564,0.233128834,0.26993865,0.31595092,0.386503067,0.398773006,0.404907975
https://colorcodedlyrics.com/24k-hey-oneul-yebbeune,오늘 예쁘네,278,0.068345324,0.111510791,0.147482014,0.183453237,0.197841727,0.226618705,0.237410072,0.255395683
https://colorcodedlyrics.com/24k-neo-hanamyeon-dwae,너 하나면 돼,350,0.08,0.134285714,0.194285714,0.288571429,0.3,0.377142857,0.385714286,0.385714286
https://colorcodedlyrics.com/24k-still-24k,Still 24K,306,0.173202614,0.222222222,0.297385621,0.320261438,0.366013072,0.395424837,0.401960784,0.418300654
https://colorcodedlyrics.com/24k-super-fly-nallali,날라리,415,0.159036145,0.240963855,0.310843373,0.337349398,0.368674699,0.38313253,0.38313253,0.387951807
https://colorcodedlyrics.com/24k-tupokei-gwiyeowo-juggesseo-u-r-so-cute,귀여워 죽겠어,257,0.112840467,0.159533074,0.225680934,0.260700389,0.291828794,0.408560311,0.420233463,0.443579767
https://colorcodedlyrics.com/24k-tupokei-hurry-up-bballiwa,빨리와,343,0.110787172,0.198250729,0.259475219,0.303206997,0.317784257,0.402332362,0.413994169,0.44606414
https://colorcodedlyrics.com/24k-tupokei-lyrics-index,24K (투포케이) Index,34,0.029411765,0.088235294,0.147058824,0.147058824,0.147058824,0.205882353,0.205882353,0.294117647
https://colorcodedlyrics.com/2am-day-like-today-oneulddala,오늘따라,309,0.139158576,0.194174757,0.25566343,0.281553398,0.349514563,0.398058252,0.430420712,0.449838188
https://colorcodedlyrics.com/2am-just-stay-geunyang-isseojwo,그냥 있어줘,292,0.191780822,0.243150685,0.315068493,0.373287671,0.383561644,0.434931507,0.469178082,0.489726027
https://colorcodedlyrics.com/2am-like-crazy-color-coded-lyrics,미친 듯이,219,0.123287671,0.155251142,0.237442922,0.278538813,0.351598174,0.415525114,0.452054795,0.470319635
https://colorcodedlyrics.com/2am-lyrics-index,2AM Index,40,0.05,0.075,0.1,0.125,0.125,0.15,0.15,0.15
https://colorcodedlyrics.com/2am-only-you-neobbuniya,너뿐이야,305,0.193442623,0.252459016,0.308196721,0.331147541,0.360655738,0.436065574,0.436065574,0.436065574
https://colorcodedlyrics.com/2am,죽어도 못 보내,259,0.065637066,0.131274131,0.231660232,0.274131274,0.28957529,0.362934363,0.405405405,0.416988417
https://colorcodedlyrics.com/2am_-_i_did_wrong_jalmoshaesseo,잘못했어,388,0.108247423,0.170103093,0.208762887,0.268041237,0.286082474,0.353092784,0.360824742,0.371134021
https://colorcodedlyrics.com/2am_-_i_wonder_if_you_hurt_like_me_neodo_nacheoleom_cc_lyrics,너도 나처럼,207,0.086956522,0.115942029,0.236714976,0.246376812,0.275362319,0.309178744,0.314009662,0.314009662
https://colorcodedlyrics.com/2bic-amp-davichi-on-nights-like-tonight-oneulgateun-bamimyeon,오늘같은 밤이면,227,0.083700441,0.140969163,0.198237885,0.264317181,0.321585903,0.400881057,0.400881057,0.418502203
https://colorcodedlyrics.com/2bic-love-again,Love Again,258,0.112403101,0.151162791,0.205426357,0.240310078,0.259689922,0.310077519,0.333333333,0.337209302
https://colorcodedlyrics.com/2eyes-bloody-luv,Bloody Luv,320,0.115625,0.14375,0.178125,0.234375,0.246875,0.25625,0.265625,0.271875
https://colorcodedlyrics.com/2eyes-don-t-mess-with-me-ggabuljima,까불지마,323,0.092879257,0.139318885,0.287925697,0.356037152,0.362229102,0.399380805,0.408668731,0.430340557
https://colorcodedlyrics.com/2eyes-irony-aileoniya,아이러니야,407,0.117936118,0.174447174,0.253071253,0.267813268,0.282555283,0.371007371,0.4004914,0.415233415
https://colorcodedlyrics.com/2eyes-shooting-star,슈팅스타,247,0.170040486,0.214574899,0.255060729,0.287449393,0.311740891,0.340080972,0.368421053,0.388663968
https://colorcodedlyrics.com/2eyes-tuaijeu-pipipi,PIPIPI,349,0.111747851,0.154727794,0.23782235,0.257879656,0.269340974,0.286532951,0.300859599,0.309455587
https://colorcodedlyrics.com/2ne1-baby-i-miss-you,Baby I Miss You,224,0.178571429,0.276785714,0.325892857,0.383928571,0.40625,0.4375,0.464285714,0.46875
https://colorcodedlyrics.com/2ne1-be-mine,BE MINE,206,0.116504854,0.174757282,0.213592233,0.247572816,0.276699029,0.325242718,0.344660194,0.359223301
https://colorcodedlyrics.com/2ne1-come-back-home-japanese-ver,Come Back Home,49,0,0,0.040816327,0.040816327,0.040816327,0.040816327,0.040816327,0.040816327
https://colorcodedlyrics.com/2ne1-come-back-home-unplugged-version,Come Back Home (Unplugged Version),265,0.109433962,0.203773585,0.271698113,0.332075472,0.358490566,0.381132075,0.411320755,0.422641509
https://colorcodedlyrics.com/2ne1-come-back-home,Come Back Home,200,0.1,0.22,0.305,0.355,0.385,0.43,0.45,0.465
https://colorcodedlyrics.com/2ne1-crush,Crush,233,0.193133047,0.223175966,0.300429185,0.343347639,0.369098712,0.399141631,0.412017167,0.412017167
https://colorcodedlyrics.com/2ne1-do-you-love-me,Do You Love Me,236,0.127118644,0.194915254,0.254237288,0.296610169,0.338983051,0.394067797,0.419491525,0.427966102
https://colorcodedlyrics.com/2ne1-good-to-you-chaghan-yeoja,착한 여자,324,0.145061728,0.197530864,0.287037037,0.320987654,0.336419753,0.395061728,0.404320988,0.410493827
https://colorcodedlyrics.com/2ne1-goodbye-annyeong,안녕,255,0.137254902,0.196078431,0.235294118,0.298039216,0.333333333,0.388235294,0.392156863,0.439215686
https://colorcodedlyrics.com/2ne1-gotta-be-you,너 아님 안돼,406,0.096059113,0.150246305,0.187192118,0.219211823,0.253694581,0.298029557,0.332512315,0.34729064
https://colorcodedlyrics.com/2ne1-happy,Happy,370,0.17027027,0.224324324,0.281081081,0.321621622,0.345945946,0.432432432,0.448648649,0.448648649
https://colorcodedlyrics.com/2ne1-i-am-the-best-cc-lyrics,내가 제일 잘 나가,327,0.22324159,0.296636086,0.49235474,0.52293578,0.532110092,0.535168196,0.544342508,0.559633028
https://colorcodedlyrics.com/2ne1-i-love-you-japanese-ver,I Love You,73,0.02739726,0.02739726,0.02739726,0.054794521,0.054794521,0.054794521,0.054794521,0.054794521
https://colorcodedlyrics.com/2ne1-i-love-you,I Love You,294,0.132653061,0.227891156,0.30952381,0.343537415,0.380952381,0.411564626,0.431972789,0.43537415
https://colorcodedlyrics.com/2ne1-if-i-were-you,살아 봤으면 해,385,0.132467532,0.179220779,0.231168831,0.285714286,0.355844156,0.449350649,0.45974026,0.47012987
https://colorcodedlyrics.com/2ne1-im-busy-cc-lyrics,2ne1 &#8211; I&#8217;m busy,267,0.176029963,0.205992509,0.348314607,0.4082397,0.415730337,0.576779026,0.576779026,0.588014981
https://colorcodedlyrics.com/2ne1-it-hurts-cc-lyrics,2ne1 &#8211; It Hurts,348,0.135057471,0.189655172,0.255747126,0.307471264,0.333333333,0.387931034,0.393678161,0.41091954
https://colorcodedlyrics.com/2ne1-mental-breakdown-mtbd,멘붕,176,0.102272727,0.181818182,0.193181818,0.25,0.272727273,0.306818182,0.318181818,0.352272727
https://colorcodedlyrics.com/2ne1-missing-you-geuliwohaeyo,그리워해요,229,0.126637555,0.23580786,0.318777293,0.318777293,0.331877729,0.379912664,0.401746725,0.410480349
https://colorcodedlyrics.com/2ne1-scream,Scream,263,0.079847909,0.19391635,0.25095057,0.30418251,0.338403042,0.357414449,0.372623574,0.372623574
https://colorcodedlyrics.com/2ne1-ugly-cc-lyrics,Ugly,252,0.162698413,0.222222222,0.281746032,0.317460317,0.345238095,0.376984127,0.380952381,0.388888889
https://colorcodedlyrics.com/2ne1-_e2_80_93-don_e2_80_99t-stop-the-music-cc-lyrics,2NE1 – Don’t Stop The Music,399,0.055137845,0.122807018,0.155388471,0.213032581,0.233082707,0.263157895,0.26566416,0.26566416
https://colorcodedlyrics.com/2ne1_-_i_don_t_care_reggae_version_cc_lyrics,I Don&#8217;t Care (Reggae Version),358,0.136871508,0.201117318,0.234636872,0.287709497,0.337988827,0.393854749,0.399441341,0.399441341
https://colorcodedlyrics.com/2ne1_-_love_is_ouch_cc_lyrics,<strong>사랑은 아야야</strong>,444,0.112612613,0.155405405,0.207207207,0.277027027,0.313063063,0.342342342,0.371621622,0.38963964
https://colorcodedlyrics.com/2ne1_-_try_to_follow_me_cc_lyrics,날 따라 해봐요,386,0.038860104,0.24611399,0.259067358,0.269430052,0.272020725,0.28238342,0.287564767,0.287564767
https://colorcodedlyrics.com/2ne1_cl_minzy_-_please_don_t_go_cc_lyrics,Please Don’t Go,329,0.121580547,0.26443769,0.325227964,0.395136778,0.428571429,0.486322188,0.498480243,0.507598784
https://colorcodedlyrics.com/2ne1_lyrics_index,2NE1 Lyrics Index,20,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35
https://colorcodedlyrics.com/2pm-a-night-like-tonight-oneul-gateun-bam,오늘 같은 밤,313,0.130990415,0.214057508,0.293929712,0.345047923,0.370607029,0.399361022,0.418530351,0.418530351
https://colorcodedlyrics.com/2pm-again-again-cc-lyrics,Again &amp; Again,341,0.093841642,0.175953079,0.246334311,0.284457478,0.302052786,0.381231672,0.407624633,0.42228739
https://colorcodedlyrics.com/2pm-awesome,Awesome!,313,0.153354633,0.207667732,0.306709265,0.3514377,0.364217252,0.370607029,0.376996805,0.376996805
https://colorcodedlyrics.com/2pm-back-to-square-one-wonjeomeulo,2PM &#8211; Back to Square One (원점으로),380,0.078947368,0.15,0.255263158,0.313157895,0.342105263,0.368421053,0.371052632,0.397368421
https://colorcodedlyrics.com/2pm-beautiful-kor-ver,Beautiful (Kor ver.),434,0.138248848,0.198156682,0.311059908,0.352534562,0.377880184,0.428571429,0.442396313,0.447004608
https://colorcodedlyrics.com/2pm-boyfriend,Boyfriend,403,0.133995037,0.17617866,0.223325062,0.290322581,0.325062035,0.35483871,0.362282878,0.367245658
https://colorcodedlyrics.com/2pm-call-my-name-nae-ileumeul-bulleojwo,내 이름을 불러줘,377,0.167108753,0.236074271,0.299734748,0.413793103,0.432360743,0.461538462,0.466843501,0.472148541
